Date, Open, High, Low,Close
12/8/2023,7513.72,7581.32,7509.83,7554.47
12/7/2023,7515.38,7523.57,7480.49,7513.72
12/6/2023,7489.84,7542.57,7486.8,7515.38
12/5/2023,7512.96,7512.96,7460.21,7489.84
12/4/2023,7529.35,7533.81,7476.85,7512.96
12/1/2023,7453.75,7538.71,7453.75,7529.35
11/30/2023,7423.46,7497.68,7387.09,7453.75
11/29/2023,7455.24,7457.48,7408.79,7423.46
11/28/2023,7460.7,7461.13,7403.25,7455.24
11/27/2023,7488.2,7488.26,7452.18,7460.7
11/24/2023,7483.58,7494.72,7450.12,7488.2
11/23/2023,7469.51,7494.77,7450.6,7483.58
11/22/2023,7481.99,7504.51,7452,7469.51
11/21/2023,7496.36,7496.86,7446.68,7481.99
11/20/2023,7504.25,7506,7472.65,7496.36
11/17/2023,7410.97,7509,7410,7504.25
11/16/2023,7486.91,7492.84,7409.4,7410.97
11/15/2023,7440.47,7533.77,7440.47,7486.91
11/14/2023,7425.83,7456.63,7386.66,7440.47
11/13/2023,7360.55,7426.14,7360.55,7425.83
11/10/2023,7455.67,7455.67,7319.96,7360.55
11/9/2023,7401.72,7465.31,7367.21,7455.67
11/8/2023,7410.04,7442.09,7384.51,7401.72
11/7/2023,7417.76,7431.14,7397.4,7410.04
11/6/2023,7417.73,7448.36,7403.51,7417.76
11/3/2023,7446.53,7482.73,7396.57,7417.73
11/2/2023,7342.43,7469.75,7342.43,7446.53
11/1/2023,7321.72,7385.39,7304.89,7342.43
10/31/2023,7327.39,7373.53,7309.04,7321.72
10/30/2023,7291.28,7361.5,7291.28,7327.39
10/27/2023,7354.57,7380.33,7279.86,7291.28
10/26/2023,7414.34,7414.34,7342.48,7354.57
10/25/2023,7389.7,7428.11,7368.38,7414.34
10/24/2023,7374.83,7405.26,7324.99,7389.7
10/23/2023,7402.14,7402.2,7338.59,7374.83
10/20/2023,7499.53,7499.62,7395.57,7402.14
10/19/2023,7588,7588,7490.46,7499.53
10/18/2023,7675.21,7681.5,7579.26,7588
10/17/2023,7630.63,7682.63,7616.77,7675.21
10/16/2023,7599.6,7651.27,7584.64,7630.63
10/13/2023,7644.78,7660.05,7590.72,7599.6
10/12/2023,7620.03,7687.91,7620.03,7644.78
10/11/2023,7628.21,7651.98,7608.67,7620.03
10/10/2023,7492.21,7637.41,7492.21,7628.21
10/9/2023,7494.58,7540.57,7473.19,7492.21
10/6/2023,7451.54,7496.42,7423.36,7494.58
10/5/2023,7412.45,7488.6,7409.74,7451.54
10/4/2023,7470.16,7490.18,7384.2,7412.45
10/3/2023,7510.72,7545.67,7466.62,7470.16
10/2/2023,7608.08,7630.41,7491.3,7510.72
9/29/2023,7601.85,7674.19,7601.85,7608.08
9/28/2023,7593.22,7605.55,7524.11,7601.85
9/27/2023,7625.72,7645.55,7577.23,7593.22
9/26/2023,7623.99,7656.94,7593.54,7625.72
9/25/2023,7683.91,7684.82,7580.81,7623.99
9/22/2023,7678.62,7735.16,7640.8,7683.91
9/21/2023,7731.65,7746.53,7674.7,7678.62
9/20/2023,7660.2,7741.9,7659.61,7731.65
9/19/2023,7652.94,7682.38,7642.36,7660.2
9/18/2023,7711.38,7720.14,7641.76,7652.94
9/15/2023,7673.08,7745.82,7673.08,7711.38
9/14/2023,7525.99,7686.96,7525.99,7673.08
9/13/2023,7527.53,7545.16,7490.37,7525.99
9/12/2023,7496.87,7550.24,7496.34,7527.53
9/11/2023,7478.19,7549.34,7467.35,7496.87
9/8/2023,7441.72,7480.64,7402.1,7478.19
9/7/2023,7426.14,7462.18,7385.92,7441.72
