Date,Open,High,Low,Close,Volume
2013-11-12,2662.61,2670.78,2654.98,2655.2,19974603
2013-11-13,2644.69,2648.63,2612.14,2617.93,25847462
2013-11-14,2646.63,2653.25,2631.66,2643.21,36850618
2013-11-15,2658.73,2694.07,2658.58,2687.6,23160905
2013-11-18,2695.39,2760.93,2693.51,2760.93,31500248
2013-11-19,2753.18,2753.18,2735.53,2738.86,25276526
2013-11-20,2735.46,2742.58,2723.62,2736.01,31163790
2013-11-21,2720.21,2729.25,2711.61,2721.85,22784492
2013-11-22,2736.34,2739.4,2721.02,2731.07,34942823
2013-11-25,2758.78,2764.4,2739.13,2755.22,39153496
2013-11-26,2733.74,2734.56,2702.99,2717.04,72195378
2013-11-27,2714.44,2728.66,2707.13,2728.66,28083835
2013-11-28,2728.38,2732.98,2705.63,2712.29,21509514
2013-11-29,2712.6,2726.89,2707.18,2726.27,37325256
2013-12-02,2721.06,2731.85,2679.84,2679.84,40089620
2013-12-03,2685.22,2685.22,2648.55,2651.27,40526347
2013-12-04,2649.97,2654.75,2612.75,2632.87,41367244
2013-12-05,2631.26,2635.74,2614.65,2616.04,38829561
2013-12-06,2631.16,2634.14,2609.15,2618.11,77576708
2013-12-09,2640.34,2643.84,2621.35,2621.35,39458452
2013-12-10,2622.32,2628.82,2575.93,2614.7,42315524
2013-12-11,2607.63,2625.08,2600.7,2606.21,24548559
2013-12-12,2590.48,2590.48,2561.19,2573.17,36377906
2013-12-13,2582.9,2584.89,2546.7,2565.27,31602385
2013-12-16,2560.98,2571.75,2548.34,2566.07,30169355
2013-12-17,2564.89,2566.02,2521.83,2521.83,32985672
2013-12-18,2521.84,2552.6,2502.86,2529.58,45914094
2013-12-19,2555.3,2557.68,2495.16,2508.15,38527362
2013-12-20,2504.87,2535.55,2502.88,2534.27,76568672
2013-12-23,2555.14,2557.79,2544.79,2545.78,23211998
2013-12-27,2556.99,2557.11,2533.63,2536.07,27558723
2013-12-30,2542.33,2543.42,2530.68,2537.53,18442939
2014-01-02,2558.88,2569.68,2547.92,2569.68,17898611
2014-01-03,2558.34,2567.38,2546.91,2547.93,13200727
2014-01-07,2528.66,2528.92,2479.69,2486.74,31978200
2014-01-08,2488.89,2506.16,2469.77,2497.02,21885420
2014-01-09,2493.27,2500.59,2458.49,2458.49,31192093
2014-01-10,2454.73,2460.13,2435.29,2460.13,45227831
2014-01-13,2469.09,2507.35,2467.48,2493.36,28825533
2014-01-14,2482.49,2513.89,2474.97,2504.6,31568800
2014-01-15,2528.18,2531.64,2511.69,2522.78,33206485
2014-01-16,2527.47,2542.58,2511.4,2526.82,21262871
2014-01-17,2524.76,2528.05,2501.12,2504.25,19430324
2014-01-20,2500.42,2507.41,2490.89,2504.83,17657974
2014-01-21,2510.2,2546.49,2510.15,2536.27,28546420
2014-01-22,2551.11,2570.23,2535.84,2559.82,35316720
2014-01-23,2559.41,2570.32,2538.75,2538.75,54823231
2014-01-24,2537.33,2545.3,2480.48,2480.57,46288267
2014-01-27,2460.32,2482.11,2442.24,2450.93,34172581
2014-01-28,2468.09,2477.6,2452.56,2469.09,34844338
2014-01-29,2489.54,2500.77,2438,2449.82,48375368
2014-01-30,2435.61,2470.2,2416.86,2466.79,33156665
2014-01-31,2464.5,2489.51,2454.36,2489.51,51450821
2014-02-03,2494.26,2521.32,2494.26,2503.37,36414784
2014-02-04,2469.79,2503.35,2466.56,2486.54,26668085
2014-02-05,2485.87,2507.49,2484.47,2494.59,52174264
2014-02-06,2510.75,2556.4,2504.68,2556.4,35631307
2014-02-07,2555.42,2561.29,2542.8,2559.1,42203843
2014-02-10,2558.46,2561.56,2546.41,2551.33,25899206
2014-02-11,2553.52,2586.13,2548.46,2586.13,34064783
2014-02-12,2603.21,2627.86,2594.02,2623.7,53861130
2014-02-13,2617.67,2631.54,2606.74,2631.54,25893471
2014-02-14,2630.28,2638.66,2612.24,2630.73,45389025
2014-02-17,2634.8,2641.74,2627.7,2635.16,23085009
2014-02-18,2648.97,2650.76,2621.75,2622.05,26880940
2014-02-19,2613.05,2643.8,2604.39,2636.43,79760555
2014-02-20,2610.17,2624.59,2599.47,2615.2,34683564
2014-02-21,2633.2,2645.72,2627.61,2640.42,25698616
2014-02-24,2639.14,2680.37,2633.9,2680.37,22252072
2014-02-25,2679.99,2680.06,2655.32,2658.68,27019404
2014-02-26,2665.93,2667.63,2617.11,2624.64,39244085
2014-02-27,2624.89,2632.14,2603.65,2617.94,32954607
2014-02-28,2625.17,2672,2625.17,2672,36325281
2014-03-03,2569.38,2604.65,2531.3,2531.3,94698760
2014-03-04,2568.36,2604.29,2567.28,2596.98,33544194
2014-03-05,2594.86,2618.33,2586.28,2593.7,58196503
2014-03-06,2605.59,2613.96,2598.08,2610.13,30443993
2014-03-07,2608.68,2610.5,2575.16,2580.87,55340961
2014-03-10,2565.82,2572.33,2539.48,2539.48,37358513
2014-03-11,2552.9,2559.86,2529.73,2544.54,37509934
2014-03-12,2534.77,2546.54,2491.71,2511.94,57270218
2014-03-13,2516.42,2521.12,2481.53,2481.53,44828388
2014-03-14,2446.18,2473.85,2433.55,2473.85,61602301
2014-03-17,2481.82,2536.95,2481.21,2536.95,19433449
2014-03-18,2540.3,2547.47,2519.12,2525.97,33302119
2014-03-19,2531.13,2535.84,2498.81,2506.47,21851170
2014-03-20,2497.43,2532.97,2495.19,2521.58,39418196
2014-03-21,2535.99,2547.49,2513.36,2513.36,58270424
2014-03-24,2525.35,2528.66,2498.85,2511.21,13862761
2014-03-25,2517.41,2556.7,2517.41,2547.93,22456350
2014-03-26,2560.21,2583.82,2560.21,2573.05,23380022
2014-03-27,2573.61,2590.97,2563.8,2573.27,23141510
2014-03-28,2585.55,2595.27,2577.43,2583.85,21090103
2014-03-31,2598.27,2612.52,2593.78,2612.52,22716783
2014-04-01,2610.49,2618.47,2602.98,2618.37,19680232
2014-04-02,2628.58,2633.47,2612.21,2625.43,26747863
2014-04-03,2626.41,2627.97,2593.55,2601.89,18555237
2014-04-04,2601.2,2621.89,2591.86,2621.21,18232108
2014-04-07,2600.49,2614.4,2587.95,2603.16,21781163
2014-04-08,2603.55,2614.77,2590.48,2614.63,20644521
2014-04-09,2621.82,2626.56,2604.75,2610.21,38940391
2014-04-10,2621.3,2633.04,2615.8,2619.1,32742375
2014-04-11,2594.05,2609.67,2591.18,2609.67,25469265
2014-04-14,2592.83,2594.89,2568.79,2581.62,15995092
2014-04-15,2578.58,2583.56,2552.56,2552.56,19068498
2014-04-16,2563.08,2571.28,2539.11,2539.11,19360335
2014-04-17,2544.73,2575.71,2543.13,2575.71,14682703
2014-04-22,2575.36,2604.65,2574.37,2603.74,13758463
2014-04-23,2604.49,2609.2,2589.36,2598.06,19044934
2014-04-24,2597.19,2618.69,2578.78,2589.25,34291166
2014-04-25,2581.01,2590.63,2572.35,2579.36,18930195
2014-04-28,2579.64,2593.98,2577.14,2584.65,19191330
2014-04-29,2592.95,2600.26,2585.09,2592.47,21335262
2014-04-30,2597.65,2602.22,2590.11,2590.11,24107970
2014-05-02,2586.77,2591.26,2576.82,2582.75,10903073
2014-05-05,2580.73,2583.94,2550.7,2554.51,11532831
2014-05-06,2562.78,2566.2,2536.73,2538.46,17681821
2014-05-07,2531.75,2542.91,2517.09,2533.74,28952518
2014-05-08,2551.14,2558.44,2532.4,2549.3,19442775
2014-05-09,2560.18,2564.34,2532.71,2534.02,20402922
2014-05-12,2535.1,2564.65,2529.24,2564.65,12393845
2014-05-13,2573.99,2583.89,2569.07,2571.46,23423827
2014-05-14,2573.79,2582.28,2566.92,2582.28,23806820
2014-05-15,2573.69,2589.7,2549.46,2557.05,24542176
2014-05-16,2557.62,2558.34,2538.67,2558.34,20195477
2014-05-19,2560.92,2568.33,2553.25,2564.29,16484023
2014-05-20,2565.28,2579.17,2564.64,2572.12,13352957
2014-05-21,2570.17,2579.91,2567.97,2577.61,17308097
2014-05-22,2597.44,2627.1,2592.59,2625.32,26500705
2014-05-23,2630.11,2643.73,2623.28,2631.03,24188535
2014-05-26,2643.64,2652.11,2635.62,2637.13,12036127
2014-05-27,2631.26,2633.05,2615.47,2625.49,16029215
2014-05-28,2622.81,2631.98,2602.99,2609.89,13988749
2014-05-29,2608.57,2632.05,2606.16,2632.05,15711633
2014-05-30,2630.23,2630.81,2598.21,2598.21,47330436
2014-06-02,2607.2,2611.39,2597.45,2611.16,16746713
2014-06-03,2617.69,2630.54,2611.38,2617.97,33028967
2014-06-04,2611,2630.01,2604.49,2630.01,24011835
2014-06-05,2634.53,2661.87,2628.35,2651.2,23768817
2014-06-06,2660.51,2667.86,2646.21,2667.86,15962851
2014-06-09,2674.18,2674.18,2653.57,2653.57,14268205
2014-06-10,2661.01,2672.48,2654.08,2672.48,17050857
2014-06-11,2676.24,2677.04,2650.6,2659.51,22231931
2014-06-12,2652.46,2657.84,2634.63,2643.38,13161327
2014-06-13,2641.43,2646.67,2630.22,2635.23,15453521
2014-06-16,2600.76,2619.23,2592.22,2615.93,9887972
2014-06-17,2617.17,2639.55,2616.69,2636.53,26236569
2014-06-18,2642.06,2647.25,2634.53,2634.63,27784483
2014-06-20,2638.02,2646.04,2633.53,2638.01,43967977
